Time (UTC),Open,High,Low,Close,Volume 
2003.12.05 09:01:00,1.2067,1.20688,1.20646,1.2065700000000001,701.2
2003.12.05 09:02:00,1.20633,1.20644,1.20614,1.20622,330.7
2003.12.05 09:03:00,1.20636,1.2065299999999999,1.20632,1.2065299999999999,475.0
2003.12.05 09:04:00,1.20652,1.2067299999999999,1.20651,1.20659,438.5
2003.12.05 09:05:00,1.20659,1.2067700000000001,1.20646,1.20665,671.5
2003.12.05 09:06:00,1.20684,1.20737,1.20668,1.20727,450.4
2003.12.05 09:07:00,1.2072200000000002,1.20728,1.20709,1.20717,320.6
2003.12.05 09:08:00,1.20729,1.2076,1.2071,1.20744,443.9
2003.12.05 09:09:00,1.20751,1.20773,1.20736,1.20746,784.9
2003.12.05 09:10:00,1.2074,1.2077200000000001,1.20729,1.2075200000000001,923.0
2003.12.05 09:11:00,1.20774,1.2079799999999998,1.20761,1.20775,698.2
2003.12.05 09:12:00,1.20787,1.2079,1.20756,1.20756,296.8
2003.12.05 09:13:00,1.2077799999999999,1.20815,1.20771,1.20815,429.6
2003.12.05 09:14:00,1.208,1.2083,1.2079600000000001,1.2079799999999998,684.6
2003.12.05 09:15:00,1.2083,1.20834,1.20794,1.20811,781.4
2003.12.05 09:16:00,1.20801,1.2081,1.20789,1.20791,640.2
2003.12.05 09:17:00,1.20765,1.20773,1.2074799999999999,1.20754,307.3
2003.12.05 09:18:00,1.20747,1.2079,1.20747,1.20777,492.1
2003.12.05 09:19:00,1.20757,1.208,1.20755,1.208,479.3
2003.12.05 09:20:00,1.2077,1.2078,1.20753,1.20757,574.3
2003.12.05 09:21:00,1.2075799999999999,1.2078200000000001,1.2075,1.2078200000000001,500.9
2003.12.05 09:22:00,1.2076,1.2079,1.20747,1.2076,606.6
2003.12.05 09:23:00,1.2075200000000001,1.20773,1.20741,1.20749,423.8
2003.12.05 09:24:00,1.20756,1.20769,1.20733,1.20737,537.9
2003.12.05 09:25:00,1.20739,1.20751,1.2073399999999999,1.2074200000000002,528.6
2003.12.05 09:26:00,1.20736,1.20753,1.20712,1.2071399999999999,344.4
2003.12.05 09:27:00,1.20725,1.20754,1.2071100000000001,1.2074,450.1
2003.12.05 09:28:00,1.2074,1.20759,1.20718,1.20723,508.1
2003.12.05 09:29:00,1.2074,1.20749,1.20733,1.20733,462.1
2003.12.05 09:30:00,1.20761,1.20761,1.20707,1.20707,699.9
2003.12.05 09:31:00,1.20723,1.20739,1.20716,1.2072200000000002,541.6
2003.12.05 09:32:00,1.20735,1.2076200000000001,1.20735,1.20756,438.8
2003.12.05 09:33:00,1.2075,1.20773,1.2072399999999999,1.2076,457.9
2003.12.05 09:34:00,1.20783,1.20799,1.2075,1.2075,608.5
2003.12.05 09:35:00,1.20767,1.20785,1.20746,1.20746,793.4
2003.12.05 09:36:00,1.2074,1.20745,1.20717,1.20725,520.2
2003.12.05 09:37:00,1.20707,1.2072399999999999,1.20694,1.20705,418.5
